I'm in good health.	Olen terve.
It's very easy to sound natural in your own native language, and very easy to sound unnatural in your non-native language.	On erittäin helppoa kuulostaa luonnolliselta omalla äidinkielellä, ja on erittäin helppo kuulostaa epäluonnolliselta kielellä, jota ei puhu äidinkielenään.
Tom opened the gate.	Tom avasi portin.
I am married and I have two sons.	Olen naimisissa ja minulla on kaksi poikaa.
He's in Tokyo.	Hän on Tokiossa.
Tom remained silent.	Tom pysyi hiljaa.
How are you, Tom?	Mitä kuuluu, Tom?
How much is that?	Mitä se maksaa?
We'll soon be leaving.	Lähdemme kohta.
I don't know if I have enough money.	En tiedä onko minulla tarpeeksi rahaa.
Tom is invited to the party.	Tomi on kutsuttu juhlaan.
Tom used Mary's credit cards.	Tom käytti Marin luottokortteja.
What is your favorite color?	Mikä sinun lempivärisi on?
Is it too much?	Onko se liikaa?
Tom is a charmer.	Tom on hurmuri.
Tom is so boring.	Tomi on niin tylsä.
Monkeys are intelligent.	Apinat ovat älykkäitä.
What did you want to talk with me about?	Mistä halusit puhua kanssani?
Have a nice trip!	Hyvää matkaa!
Do you take me for a fool?	Pidätkö minua pöhkönä?
I don't have a TV at my place.	Minulla ei ole kotona televisiota.
They're secretive.	He ovat salamyhkäisiä.
I teach French.	Minä opetan ranskaa.
Their goods are of the highest quality.	Heidän tavaransa ovat parasta laatua.
Never put off until tomorrow what you can do the day after tomorrow.	Älä lykkää huomiseen sitä, minkä voi tehdä ylihuomenna.
We can get through this if we all stick together.	Voimme päästä tästä läpi, jos me kaikki pidämme yhtä.
I recently met an old friend.	Tapasin äskettäin vanhan ystäväni.
I can place the palms of my hands on the floor without bending my knees.	Saan molemmat kämmeneni kiinni lattiaan koukistamatta polviani.
I always eat junk food when I'm depressed.	Syön aina roskaruokaa kun olen masentunut.
I'm the man of the house.	Olen talon herra.
He resigned.	Hän erosi.
This river is not polluted.	Tämä joki ei ole saastunut.
Can I have two hamburgers and a coke, please?	Saisinko kaksi hampurilaista ja kokiksen, kiitos.
You only started this job an hour ago.	Sinä vasta aloitit tämän työn tunti sitten.
That's not how you spell my name.	Noin ei nimeäni kirjoiteta.
Tom denied everything.	Tom kielsi kaiken.
You were happy.	Te olitte onnellisia.
Tom doesn't speak French very well.	Tom ei puhu ranskaa kovin hyvin.
I just wanted to stop.	Minä vain halusin pysähtyä.
I'll kill him.	Minä tapan hänet.
Tom's mother lives in this village.	Tomin äiti asuu tässä kylässä.
I hate children.	Vihaan lapsia.
I was flabbergasted.	Olin pöyristynyt.
There's a postcard here.	Täällä on postikortti.
You can't blame me for that.	Et voi syyttää siitä minua.
Tom is weak.	Tom on heikko.
Tom wasn't a bit tired.	Tom ei ollut pätkääkään väsynyt.
Tom got fatter.	Tom on lihonut.
His right leg was asleep.	Hänen oikea jalkansa oli puutunut.
Tom had a girlfriend named Mary.	Tomilla oli tyttöystävä nimeltä Mary.
Please give me some airsickness medicine.	Antaisitko minulle lääkettä lentopahoinvointiin.
Each exercise should be performed fifty times.	Jokaista harjoitusta pitäisi tehdä viisikymmentä kertaa.
Let's go up.	Mennään ylös.
Do you like bugs?	Tykkäätkö sinä hyönteisistä?
I've never even met Tom.	En ole edes koskaan tavannut Tomia.
You used to teach, right?	Sinä opetit aikaisemmin, eikö niin?
We've been in dangerous situations before.	Olemme olleet vaarallisissa tilanteissa aikaisemmin.
The food was very good.	Ruoka oli todella hyvää.
If you had to go live on a deserted island and could only take one book with you, which one would you choose?	Jos joutuisit mennä asumaan autiolle saarelle ja voisit ottaa vain yhden kirjan mukaasi, minkä valitsisit?
It is not clear who wrote this letter.	Ei ole selvää, kuka kirjoitti tämän kirjeen.
The police officer asked me what my name was.	Poliisi kysyi minulta mikä minun nimeni on.
You should be going soon.	Sinun pitäisi mennä pian.
We will keep the peace at all costs.	Pidämme rauhan mihin hintaan tahansa.
Don't get personal.	Älä tule henkilökohtaiseksi.
What a big dog!	Onpa iso koira!
You're not a good teacher.	Sinä et ole hyvä opettaja.
I don't speak French very well.	En puhu ranskaa kovin hyvin.
I'm in the shower.	Olen suihkussa.
You do look a lot like Tom.	Näytät tosiaankin paljon Tomilta.
I will survive.	Minä selviydyn.
Who stabbed Tom?	Kuka puukotti Tomia?
Tom is in no hurry to sell his car.	Tom ei ole myymässä autoaan mitenkään kiireellä.
It started to rain.	Alkoi sataa.
A plastic cup is better than one made of real glass.	Muovimuki on parempi kuin oikeasta lasista tehty.
We understand.	Ymmärrämme.
Let's put this in the top dresser drawer.	Pannaan tämä ylimpään lipastonlaatikkoon.
A lot of back problems can be attributed to poor sitting posture.	Monet selkäongelmat voidaan johtaa kehnoon istuma-asentoon.
How old is this?	Kuinka vanha tämä on?
What do you think of this place?	Mitä mieltä olet tästä paikasta?
Your neighbors have complained about your noisy parties.	Naapurisi ovat valittaneet kovaäänisistä juhlistasi.
Don't blame me for your mistakes.	Älä syytä minua virheistäsi.
We were supposed to go together.	Meidän piti mennä yhdessä.
She tried to commit suicide.	Hän yritti tehdä itsemurhan.
There is a monster under my bed.	Sänkyni alla on hirviö.
Please show me how to use the headset.	Ole hyvä ja näytä minulle kuinka kuulokkeita käytetään.
Do you want to go home now?	Haluatko mennä kotiin nyt?
It's a surprise.	Se on yllätys.
I want you to go to Boston with Tom.	Haluan, että menet Bostoniin Tomin kanssa.
I've been alone on this island for three years.	Olen ollut yksin tällä saarella kolmen vuoden ajan.
I followed the rules.	Noudatin sääntöjä.
I had a good teacher.	Minulla oli hyvä opettaja.
Carrots and turnips are edible roots.	Porkkanat ja nauriit ovat syötäviä juureksia.
They swam.	He uivat.
Tom is traveling by himself.	Tomi matkustaa yksin.
I'll send it back.	Lähetän sen takaisin.
My life is so boring.	Minun elämäni on niin tylsää.
I had the same problems.	Minulla oli samat ongelmat.
A policeman was gazing at a suspicious pedestrian.	Poliisi katsoi tarkkaan epäilyttävää jalankulkijaa.
I had a few auditions, but never got a job.	Kävin muutamissa koe-esiintymisissä, mutta en saanut koskaan töitä.
This birdhouse was designed by a famous architect.	Kuuluisa arkkitehti suunnitteli tämän linnunpöntön.
They all speak French.	He kaikki puhuvat ranskaa.
Is the room big enough for you?	Onko huone sinulle tarpeeksi iso?
Tom looked around for his camera.	Ton etsi kaikkialta kameraansa.
A lot of people want peace all over the world.	Monet haluavat rauhaa kaikkialle maailmaan.
Tom woke Mary up.	Tomi herätti Marin.
My father was completely bald by the time he was forty.	Isäni oli jo 40-vuotiaana täysin kalju.
Is this sentence correct?	Onko tämä lause oikein?
My brother is stronger than me.	Minun veljeni on minua vahvempi.
I don't know if I still have it.	Voi olla että minulla on se yhä.
This is Tom's shirt, not mine.	Tämä on Tomin paita, ei minun.
We've got another problem.	Meillä on toinen ongelma.
Tom was handsome when he was in his twenties.	Tom oli komea kun hän on parikymppinen.
He's a successful banker.	Hän on menestyksekäs pankkiiri.
Can you do me a big favor?	Voitko tehdä minulle suuren palveluksen?
I did not want to attract attention.	En halunnut herättää huomiota.
Tom saw blood on the floor.	Tomi näki verta lattiallla.
Tom came last week.	Tom tuli viime viikolla.
It is difficult to believe what you say.	Sitä mitä sanot, on vaikea uskoa.
Why are you calling Tom?	Miksi sinä soitat Tomille?
I really like your eyes.	Tykkään tosi paljon silmistäsi.
Tom has a surprise for you.	Tomilla on sinulle yllätys.
Help me and I will help you.	Auta minua ja minä autan sinua.
How much should my daughter be eating?	Kuinka paljon tyttäreni pitäisi syödä?
Do you look up to your parents?	Arvostatko vanhempiasi?
Tom has a headache.	Tomilla on päänsärkyä.
I'll call you if I need you.	Soitan sinulle jos tarvitsen sinua.
Tom has a solution for everything.	Tomilla on ratkaisu kaikkeen.
I'd rather clean my room than spend time doing my homework.	Siivoan mieluummin huoneeni kuin käytän aikani läksyjen tekemiseen.
That's a pity.	Se on sääli.
That was a slight miscalculation.	Se oli pieni laskuvirhe.
You don't need to go at once.	Sinun ei tarvitse lähteä heti.
He drove the car, listening to music on the radio.	Hän ajoi autoa kuunnellen musiikkia radiosta.
I went by there last night.	Kävin siellä eilisiltana.
Tom and Mary found their seats.	Tom ja Mary löysivät paikkansa.
I never had the chance to say goodbye.	Minulla ei ollut ikinä mahdollisuutta jättää jäähyväisiä.
Last night there was a big fire in the neighbourhood.	Viime yönä tässä lähistöllä oli suuri tulipalo.
Have you finished packing yet?	Oletko jo saanut pakattua valmiiksi?
A lifetime is short, but feels long.	Elämä on lyhyt, mutta tuntuu pitkältä.
A crowd soon gathered around the fire engine.	Väkijoukko kerääntyi pian paloauton ympärille.
I made cookies.	Leivoin keksejä.
He arrived safely.	Hän saapui perille turvallisesti.
I turned off the radio.	Sammutin radion.
Hunger can make people do stupid things.	Nälkä voi saada ihmiset tekemään typeriä asioita.
Is it free?	Onko se ilmainen?
Tom didn't have a chance to visit Mary the last time he was in Boston.	Tomilla ei ollut mahdollisuutta käydä kylässä Marin luona viime kerralla kun hän oli Bostonissa.
I thought he was my brother.	Luulin häntä veljekseni.
You should prepare for the worst.	Sinun pitäisi valmistautua pahimpaan.
Wait, you guys.	Oottakaa, tyypit.
This telephone is out of order.	Tämä puhelin on rikki.
Where's my daddy?	Missä mun isi on?
This is a picture of Tom's house.	Tämä on kuva Tomin kodista.
Tom is fast.	Tom on nopea.
I doubt if Tom speaks French.	Epäilen puhuuko Tom ranskaa.
The Milky Way is huge.	Linnunrata on valtava.
Tom looks horrified.	Tomi näytti kauhistuneelta.
I didn't steal it. I just borrowed it.	En varastanut sitä. Minä vain lainasin sitä.
I love you more deeply than I can say.	Rakastan sinua syvemmin kuin voin sanoa.
I cannot drive a bus.	En osaa ajaa bussia.
We're not going to do that anymore.	Emme aio enää tehdä niin.
I really love French things.	Minusta ranskalaiset asiat ovat aivan ihania.
I think Tom blames himself.	Luulen, että Tomi syyttää itseään.
That doesn't mean that I'll stop doing it.	Se ei tarkoita, että lopettaisin sen tekemisen.
I know you did it on purpose.	Tiedän, että teit sen tahallasi.
Well, what's in the box?	No, mitä laatikossa on?
I'd like to share my secret with you.	Haluaisin jakaa salaisuuteni kanssasi.
Tom has wavy brown hair and blue eyes.	Tomilla on lainehtivat ruskeat hiukset ja siniset silmät.
She cannot stop him.	Hän ei pysty pysäyttämään häntä.
Which film did you see?	Minkä elokuvan näit?
That's not relevant.	Tuo ei kuulu asiaan.
Tom wanted to be alone.	Tom halusi olla yksin.
Don't smoke in bed.	Älä tupakoi sängyssä.
How was Tom killed?	Miten Tom tapettiin?
This sentence is not French.	Tämä lause ei ole ranskaa.
This painting is a good copy of the original.	Tämä maalaus on hyvä kopio alkuperäisestä.
I am fond of reading.	Olen tykästynyt lukemiseen.
I feel like such an idiot.	Tunnen itseni täysin idiootiksi.
I intend to change jobs.	Olen aikeissa vaihtaa työpaikkaa.
Tom stabbed Mary.	Tom puukotti Maria.
Two hundred dollars is a lot to me.	Kaksisataa dollaria on minulle paljon.
The dry spell continued into September.	Kuiva kausi jatkui syyskuulle.
Tom has joined the army.	Tomi liittyi armeijaan.
How often do you shave your legs?	Kuinka usein ajelet sääresi?
It is fun to play baseball.	On hauskaa pelata baseballia.
What vegetables do you like?	Mistä vihanneksista sinä pidät?
They were confused.	He olivat hämillään.
Even though he was tired, he went on with his work.	Vaikka hän oli väsynyt, hän jatkoi työtään.
We must stay together.	Meidän täytyy pysyä yhdessä.
There are fresh tracks in the snow.	Lumessa on tuoreita jälkiä.
How do you say "good bye" in German?	Miten sanotaan ”näkemiin” saksaksi?
Put on a robe.	Laita kaapu yllesi.
Why are you in a hurry?	Miksi sinulla on kiire?
Can you swim?	Osaatko uida?
He's lying.	Hän valehtelee.
I can't think of any alternatives.	En keksi mitään vaihtoehtoja.
Everybody looked around nervously.	Kaikki katsoivat ympärilleen hermostuneina.
What I'm saying is true.	Tämä on totta.
Give me your hand.	Anna minulle kätesi.
This is difficult for you to understand, isn't it?	Sinun on vaikea ymmärtää tämä, eikö niin?
Everything has a purpose.	Kaikella on tarkoituksensa.
Now we have to be very careful.	Nyt meidän on oltava hyvin huolellisia.
What I mean is that I love you.	Tarkoitan, että rakastan sinua.
For the teacher, teaching her was fun.	Opettajana hänen opettamisensa oli ilo.
He put milk in his coffee.	Hän laittoi maitoa hänen kahviinsa.
Why does Tom hate Mary?	Miksi Tom vihaa Maryä?
That place is creepy.	Se paikka on karmiva.
Is Tom able to speak French?	Osaako Tom puhua ranskaa?
You're kidding me, aren't you?	Nyt kyllä huijaat, vai mitä?
I regret saying that you were wrong.	Kadun, että sanoin sinun olevan väärässä.
I took a book from the shelf.	Otin kirjan hyllyltä.
Tom's not much of a cook, but at least he gives it a go.	Tom ei ole kummoinenkaan kokki, mutta hän sentään yrittää.
A lot can happen in a month.	Kuukaudessa voi tapahtua paljon.
You don't need to thank us.	Sinun ei tarvitse kiittää meitä.
He accepted our offer.	Hän hyväksyi tarjouksemme.
Who is this guy?	Kuka tää tyyppi on?
I understand what you're saying.	Ymmärrän mitä sanotte.
I’m on a diet at the moment.	Olen juuri nyt laihdutuskuurilla.
The onions have already sprouted.	Sipulit ovat jo alkaneet itää.
What's your full name?	Mikä sinun koko nimesi on?
Tom pleaded guilty to misdemeanor drunken driving charges in New York.	Tom tunnusti syyllisyytensä lievään rattijuopumukseen New Yorkissa.
What is his name?	Mikä hänen nimensä on?
I didn't want to wake you.	En halunnut herättää sinua.
I like your hair.	Pidän hiuksistasi.
Tom is dangerous.	Tom on vaarallinen.
We're meditating.	Me meditoimme.
I got Tom to proofread my paper.	Oikoluetutin tutkielmani Tomilla.
I'll be able to afford a week's vacation this summer.	Pystyn kustantamaan viikon loman tänä kesänä.
The priest blessed the marriage of the happy couple.	Pappi siunasi onnellisen parin avioliiton.
You're so impatient with me.	Sinulla ei ole lainkaan kärsivällisyyttä minun kanssani.
I have to study French.	Minun täytyy opiskella ranskaa.
Would you mind if I sit with you?	Haittaako, jos istun kanssasi?
Yoshino is a place famous for its cherry blossoms.	Yoshino on kirsikankukistaan kuuluisa paikka.
Is it OK if I come tomorrow, too?	Käykö, jos minäkin tulen huomenna?
Why on earth did you give him such a name?	Miksi ihmeessä annoit hänelle sellaisen nimen?
Some women don't shave their legs.	Tietyt naiset eivät ajele sääriään.
He usually comes in time.	Hän tulee tavallisesti ajallaan.
